ADM2_PT,Nyusi,Simango,Momade,Albino,Total
Alto Molocue,41017,1896,19944,252,63109
Ancuabe,20755,1409,6503,253,28920
Angoche,51090,1811,27032,985,80918
Angonia,38767,3837,36571,653,79828
Balama,16882,1272,6021,252,24427
Barue,58159,760,7845,285,67049
Bilene,59536,1497,2323,236,63592
Boane,42928,3347,12255,202,58732
Buzi,15857,3524,11068,266,30715
Cahora Bassa,39923,561,2267,131,42882
Caia,23758,703,4253,121,28835
Changara,41285,245,1185,75,42790
Chemba,17658,389,3529,149,21725
Cheringoma,8618,290,4767,111,13786
Chibabava,14676,309,2571,77,17633
Chibuto,112691,2483,2380,601,118155
Chicualacuala,17177,26,90,2,17295
Chifunde,27524,427,4073,120,32144
Chigubo,13361,8,22,9,13400
Chimbonila,9571,257,2366,54,12248
Chinde,9623,686,4045,182,14536
Chiure,32354,2555,20315,747,55971
Chiuta,25504,417,2224,109,28254
Chokwe,152328,2976,2745,847,158896
Chongoene,53449,1162,1673,140,56424
Cidade Da Beira,86246,46468,32115,357,165186
Cidade Da Matola,197652,19165,80405,855,298077
Cidade De Chimoio,66629,4356,28356,319,99660
Cidade De Inhambane,21636,1289,3107,97,26129
Cidade De Lichinga,38461,1139,14611,257,54468
Cidade De Nampula,113132,7823,71847,3310,196112
Cidade De Pemba,37763,2142,14983,138,55026
Cidade De Quelimane,41198,3153,33062,539,77952
Cidade De Tete,59229,2968,22461,221,84879
Cidade De Xai-Xai,49390,3065,6034,204,58693
Cuamba,23133,1402,14533,215,39283
Derre,12236,298,2582,96,15212
Doa,18202,457,3801,306,22766
Dondo,52419,3306,11186,117,67028
Erati,33334,3265,15073,1052,52724
Funhalouro,14379,165,377,95,15016
Gile,16285,1018,9798,163,27264
Gondola,34547,1485,10968,281,47281
Gorongosa,26389,1693,9734,442,38258
Govuro,7621,625,3040,132,11418
Guija,45067,277,379,94,45817
Guro,23441,378,4111,153,28083
Gurue,35213,4529,15071,254,55067
Homoine,22626,1181,2821,260,26888
Ibo,2929,146,819,12,3906
Ile,36493,1017,7411,311,45232
Ilha De Mocambique,10092,328,6735,172,17327
Inharrime,16755,942,2711,183,20591
Inhassoro,16067,542,1343,149,18101
Inhassunge,12440,616,3738,78,16872
Jangamo,16322,865,2322,175,19684
Cidade De Maputo,276082,29471,91626,1603,398782
Lago,17357,626,8696,73,26752
Lalaua,13159,645,4268,280,18352
Larde,9002,383,3569,192,13146
Limpopo,62095,1241,1864,264,65464
Liupo,9383,827,6036,666,16912
Luabo,7011,322,3156,80,10569
Lugela,24943,864,4039,159,30005
Mabalane,17208,88,85,7,17388
Mabote,15832,473,679,94,17078
Macanga,29574,382,3758,78,33792
Macate,18559,397,4365,122,23443
Machanga,7835,1792,2086,83,11796
Machaze,18094,612,9569,254,28529
Macomia,22026,809,3085,125,26045
Macossa,12577,207,2884,89,15757
Maganja Da Costa,20417,1466,10088,427,32398
Magoe,32286,254,1270,58,33868
Magude,15653,494,988,105,17240
Majune,5949,238,1511,48,7746
Malema,24304,1415,11108,292,37119
Mandimba,13050,628,5801,121,19600
Mandlakaze,53408,1626,2588,264,57886
Manhica,46609,2057,5881,310,54857
Manica,41595,1458,11817,153,55023
Mapai,13860,41,127,8,14036
Marara,22442,271,1048,76,23837
Maravia,16476,384,4141,203,21204
Maringue,18738,442,3707,159,23046
Marracuene,36857,2721,9845,152,49575
Marromeu,44785,3165,7064,141,55155
Marrupa,8907,682,2940,99,12628
Massangena,11584,32,38,4,11658
Massinga,11305,837,3572,158,15872
Massingir,18775,33,187,3,18998
Matutuine,15595,425,1273,35,17328
Maua,7341,681,2219,213,10454
Mavago,7622,116,744,70,8552
Maxixe,26366,1730,4163,151,32410
Mecanhelas,14959,1419,11177,186,27741
Meconta,18421,1158,10412,801,30792
Mecuburi,16331,1618,9373,549,27871
Mecufi,8335,536,3521,105,12497
Mecula,4178,269,1352,38,5837
Meluco,9373,431,1160,69,11033
Memba,18886,1263,11694,821,32664
Metarica,6841,374,2469,59,9743
Metuge,14087,671,3506,123,18387
Milange,48440,2585,26772,832,78629
Moamba,20020,807,2692,103,23622
Moatize,36900,1847,24243,484,63474
Mocimboa Da Praia,27981,758,9512,189,38440
Mocuba,37908,1982,18101,367,58358
Mocubela,10116,556,3786,146,14604
Mogincual,9622,378,3570,247,13817
Mogovolas,27691,1509,12181,1037,42418
Molumbo,18322,603,5161,162,24248
Moma,22168,1231,15091,1438,39928
Monapo,35568,2796,22836,1360,62560
Montepuez,31034,2278,14427,376,48115
Mopeia,20707,375,5071,118,26271
Morrumbala,33197,1377,14655,430,49659
Morrumbene,19248,1313,5173,284,26018
Mossuril,17320,886,10545,1085,29836
Mossurize,27219,830,14085,420,42554
Muanza,15135,266,2545,35,17981
Muecate,8461,591,3798,389,13239
Mueda,49026,1134,931,134,51225
Muembe,7981,160,1122,27,9290
Muidumbe,35304,487,352,57,36200
Mulevala,11913,284,2599,64,14860
Murrupula,17490,1014,8105,425,27034
Mutarara,40096,534,5812,116,46558
Nacala,37535,1326,35315,515,74691
Nacala-A-Velha,11307,755,5469,270,17801
Nacaroa,12813,1014,7083,409,21319
Namaacha,14153,493,1389,44,16079
Namacurra,18900,1381,9373,349,30003
Namarroi,17623,591,4809,183,23206
Namuno,27060,2117,9734,544,39455
Nangade,26163,916,2503,213,29795
Ngauma,7884,304,3355,70,11613
Nhamatanda,45716,2518,17163,489,65886
Nicoadala,30489,1421,10584,276,42770
Nipepe,5499,196,1483,41,7219
Palma,9092,640,4627,125,14484
Panda,11493,402,806,132,12833
Pebane,27980,1775,16417,430,46602
Quissanga,10625,509,2882,118,14134
Rapale,12741,747,6699,418,20605
Ribaue,28196,1407,8469,741,38813
Sanga,9457,206,1881,38,11582
Sussundenga,28842,917,8413,217,38389
Tambara,14208,205,2675,69,17157
Tsangano,23566,566,6187,135,30454
Vanduzi,37949,949,8116,193,47207
Vilankulo,28856,1673,5933,342,36804
Zavala,21747,1125,3644,222,26738
Zumbu,24338,296,2769,86,27489
